titre,entreprise,tags,date
Senior Shopify Developer (Remote + Flexible),Storetasker,"['Contract', 'Anywhere in the World']",4d
AI Software Engineer,SlideSpeak,"['Full-Time', '$50,000 - $74,999 USD', '🇦🇩 Andorra', '🇦🇱 Albania', '🇦🇲 Armenia', '🇦🇹 Austria', '🇧🇦 Bosnia and Herzegovina', '🇧🇪 Belgium', '🇧🇬 Bulgaria', '🇧🇾 Belarus', '🇨🇭 Switzerland', '🇨🇾 Cyprus', '🇨🇿 Czechia', '🇩🇪 Germany', '🇩🇰 Denmark', '🇪🇪 Estonia', '🇪🇸 Spain', '🇫🇮 Finland', '🇫🇷 France', '🇬🇧 United Kingdom of Great Britain and Northern Ireland', '🇬🇷 Greece', '🇭🇷 Croatia', '🇭🇺 Hungary', '🇮🇪 Ireland', '🇮🇸 Iceland', '🇮🇹 Italy', '🇰🇿 Kazakhstan', '🇱🇹 Lithuania', '🇱🇺 Luxembourg', '🇱🇻 Latvia', '🇲🇩 Moldova (Republic of)', '🇲🇪 Montenegro', '🇲🇹 Malta', '🇵🇱 Poland', '🇵🇹 Portugal', '🇷🇴 Romania', '🇷🇸 Serbia', '🇷🇺 Russian Federation', '🇸🇪 Sweden', '🇸🇮 Slovenia', '🇸🇰 Slovakia', '🇹🇯 Tajikistan', '🇹🇲 Turkmenistan', '🇹🇷 Türkiye', '🇺🇦 Ukraine', '🇿🇦 South Africa']",8d
"Senior Software Engineer, Growth",Clerk,"['Full-Time', '$100,000 or more USD', 'Anywhere in the World']",11d
Product Marketing Lead,WeVote,['Full-Time'],11d
Optimization Specialist,ONeil Interactive,['Full-Time'],11d
Senior Web Application Developer,Details,"['Full-Time', 'Anywhere in the World']",11d
Full Stack Developer,QinetiQ US,['Full-Time'],11d
"Experienced Full-Stack Software Engineer (.NET/React), 80–100% (f/m/x), fully remote",comparis.ch,"['Full-Time', 'Anywhere in the World']",13d
Senior Software Engineer,fonio,"['Full-Time', '$100,000 or more USD', 'Anywhere in the World']",16d
Senior Software Engineer,Stellar AI,"['Contract', 'Anywhere in the World']",18d
Applied AI Engineer,SuperPlane Inc.,"['Contract', '🇦🇷 Argentina', '🇧🇦 Bosnia and Herzegovina', '🇧🇷 Brazil', '🇨🇿 Czechia', '🇪🇸 Spain', '🇭🇷 Croatia', '🇮🇹 Italy', '🇲🇪 Montenegro', '🇲🇰 North Macedonia', '🇵🇱 Poland', '🇵🇹 Portugal', '🇷🇸 Serbia']",18d
Passionate Full-Stack Engineer (SEO-Focused Company),SerpNames,"['Full-Time', '$25,000 - $48,999 USD', 'Anywhere in the World']",18d
Full-Stack Engineer,DynamiCare Health,"['Full-Time', '$100,000 or more USD', '🇺🇸 United States of America']",22d
Senior Fullstack Developer (Python),Proxify AB,"['Top 100', 'Full-Time', 'Anywhere in the World']",22d
Senior Fullstack Developer (Vue.js & Python),Proxify AB,"['Top 100', 'Full-Time', 'Anywhere in the World']",22d
Senior PHP Full-stack Developer,Lemon.io,"['Top 100', 'Full-Time', 'Anywhere in the World']",23d
Senior Full-stack Developer,Lemon.io,"['Top 100', 'Full-Time', 'Anywhere in the World']",23d
"Senior Software Engineer (.NET, Node.js, React)",OpsFlow,"['Contract', '$50,000 - $74,999 USD', 'Anywhere in the World']",25d
Full Stack Developer,Karmah,"['Full-Time', 'Anywhere in the World']",25d
Low-Ego • High-Impact Junior Developer For AI Company,DRT FM - Humble Echo LLC,"['Full-Time', '$25,000 - $48,999 USD', 'Anywhere in the World']",25d
"Software Engineer, Business Experience",CodeSignal,"['Full-Time', 'Anywhere in the World']",26d
Sr Web Applications Developer - eCommerce,DexCom,"['Full-Time', 'Anywhere in the World']",28d
Senior Web Application Architect,DevSelect,['Full-Time'],28d
Senior Web Applications Developer,Vituity,['Full-Time'],28d
Sdet,Cotiviti,"['Full-Time', 'Anywhere in the World']",28d
.Net Junior-level Software Engineer,Edgewater Federal Solutions,['Full-Time'],28d
Senior Independent Software Developer ($90-$170/hr),A.Team,"['Contract', 'Anywhere in the World']",30d
